"date","state","sector","mode","installed_capacity"
"21-12-2023","Ladakh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Ladakh","PVT SECTOR","Hydro","NA"
"21-12-2023","Ladakh","PVT SECTOR","RES","7.8"
"21-12-2023","Ladakh","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Ladakh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Ladakh","CENTRAL SECTOR","Hydro","89"
"21-12-2023","Ladakh","CENTRAL SECTOR","RES","NA"
"21-12-2023","Lakshadweep","STATE SECTOR","Thermal","26.83"
"21-12-2023","Lakshadweep","STATE SECTOR","Nuclear","NA"
"21-12-2023","Lakshadweep","STATE SECTOR","Hydro","NA"
"21-12-2023","Lakshadweep","STATE SECTOR","RES","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","Thermal","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","Nuclear","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","Hydro","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","RES","4.77"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","RES","NA"
"21-12-2023","Madhya Pradesh","STATE SECTOR","Thermal","5400"
"21-12-2023","Madhya Pradesh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Madhya Pradesh","STATE SECTOR","Hydro","715"
"21-12-2023","Madhya Pradesh","STATE SECTOR","RES","107.96"
"21-12-2023","Madhya Pradesh","PVT SECTOR","Thermal","8320"
"21-12-2023","Madhya Pradesh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Madhya Pradesh","PVT SECTOR","Hydro","NA"
"21-12-2023","Madhya Pradesh","PVT SECTOR","RES","5864.03"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","Thermal","8280"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","Hydro","1520"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","RES","300"
"21-12-2023","Maharashtra","STATE SECTOR","Thermal","10212"
"21-12-2023","Maharashtra","STATE SECTOR","Nuclear","NA"
"21-12-2023","Maharashtra","STATE SECTOR","Hydro","2566"
"21-12-2023","Maharashtra","STATE SECTOR","RES","388.13"
"21-12-2023","Maharashtra","PVT SECTOR","Thermal","11244"
"21-12-2023","Maharashtra","PVT SECTOR","Nuclear","NA"
"21-12-2023","Maharashtra","PVT SECTOR","Hydro","481"
"21-12-2023","Maharashtra","PVT SECTOR","RES","12740.01"
"21-12-2023","Maharashtra","CENTRAL SECTOR","Thermal","5607.08"
"21-12-2023","Maharashtra","CENTRAL SECTOR","Nuclear","1400"
"21-12-2023","Maharashtra","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Maharashtra","CENTRAL SECTOR","RES","123"
"21-12-2023","Manipur","STATE SECTOR","Thermal","36"
"21-12-2023","Manipur","STATE SECTOR","Nuclear","NA"
"21-12-2023","Manipur","STATE SECTOR","Hydro","NA"
"21-12-2023","Manipur","STATE SECTOR","RES","5.45"
"21-12-2023","Manipur","PVT SECTOR","Thermal","NA"
"21-12-2023","Manipur","PVT SECTOR","Nuclear","NA"
"21-12-2023","Manipur","PVT SECTOR","Hydro","NA"
"21-12-2023","Manipur","PVT SECTOR","RES","13.04"
"21-12-2023","Manipur","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Manipur","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Manipur","CENTRAL SECTOR","Hydro","105"
"21-12-2023","Manipur","CENTRAL SECTOR","RES","NA"
"21-12-2023","Meghalaya","STATE SECTOR","Thermal","NA"
"21-12-2023","Meghalaya","STATE SECTOR","Nuclear","NA"
"21-12-2023","Meghalaya","STATE SECTOR","Hydro","322"
"21-12-2023","Meghalaya","STATE SECTOR","RES","55.03"
"21-12-2023","Meghalaya","PVT SECTOR","Thermal","NA"
"21-12-2023","Meghalaya","PVT SECTOR","Nuclear","NA"
"21-12-2023","Meghalaya","PVT SECTOR","Hydro","NA"
"21-12-2023","Meghalaya","PVT SECTOR","RES","17.99"
"21-12-2023","Mizoram","STATE SECTOR","Thermal","NA"
"21-12-2023","Mizoram","STATE SECTOR","Nuclear","NA"
"21-12-2023","Mizoram","STATE SECTOR","Hydro","NA"
"21-12-2023","Mizoram","STATE SECTOR","RES","45.47"
"21-12-2023","Mizoram","PVT SECTOR","Thermal","NA"
"21-12-2023","Mizoram","PVT SECTOR","Nuclear","NA"
"21-12-2023","Mizoram","PVT SECTOR","Hydro","NA"
"21-12-2023","Mizoram","PVT SECTOR","RES","30.43"
"21-12-2023","Mizoram","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Mizoram","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Mizoram","CENTRAL SECTOR","Hydro","60"
"21-12-2023","Mizoram","CENTRAL SECTOR","RES","NA"
"21-12-2023","Nagaland","STATE SECTOR","Thermal","NA"
"21-12-2023","Nagaland","STATE SECTOR","Nuclear","NA"
"21-12-2023","Nagaland","STATE SECTOR","Hydro","NA"
"21-12-2023","Nagaland","STATE SECTOR","RES","32.67"
"21-12-2023","Nagaland","PVT SECTOR","Thermal","NA"
"21-12-2023","Nagaland","PVT SECTOR","Nuclear","NA"
"21-12-2023","Nagaland","PVT SECTOR","Hydro","NA"
"21-12-2023","Nagaland","PVT SECTOR","RES","3.17"
"21-12-2023","Nagaland","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Nagaland","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Nagaland","CENTRAL SECTOR","Hydro","75"
"21-12-2023","Nagaland","CENTRAL SECTOR","RES","NA"
"21-12-2023","Odisha","STATE SECTOR","Thermal","1740"
"21-12-2023","Odisha","STATE SECTOR","Nuclear","NA"
"21-12-2023","Odisha","STATE SECTOR","Hydro","2154.55"
"21-12-2023","Odisha","STATE SECTOR","RES","26.3"
"21-12-2023","Odisha","PVT SECTOR","Thermal","3200"
"21-12-2023","Odisha","PVT SECTOR","Nuclear","NA"
"21-12-2023","Odisha","PVT SECTOR","Hydro","NA"
"21-12-2023","Odisha","PVT SECTOR","RES","603.78"
"21-12-2023","Odisha","CENTRAL SECTOR","Thermal","4600"
"21-12-2023","Odisha","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Odisha","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Odisha","CENTRAL SECTOR","RES","10"
"21-12-2023","Puducherry","STATE SECTOR","Thermal","32.5"
"21-12-2023","Puducherry","STATE SECTOR","Nuclear","NA"
"21-12-2023","Puducherry","STATE SECTOR","Hydro","NA"
"21-12-2023","Puducherry","STATE SECTOR","RES","NA"
"21-12-2023","Puducherry","PVT SECTOR","Thermal","NA"
"21-12-2023","Puducherry","PVT SECTOR","Nuclear","NA"
"21-12-2023","Puducherry","PVT SECTOR","Hydro","NA"
"21-12-2023","Puducherry","PVT SECTOR","RES","43.27"
"21-12-2023","Puducherry","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Puducherry","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Puducherry","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Puducherry","CENTRAL SECTOR","RES","NA"
"21-12-2023","Punjab","STATE SECTOR","Thermal","1760"
"21-12-2023","Punjab","STATE SECTOR","Nuclear","NA"
"21-12-2023","Punjab","STATE SECTOR","Hydro","941"
"21-12-2023","Punjab","STATE SECTOR","RES","127.8"
"21-12-2023","Punjab","PVT SECTOR","Thermal","3920"
"21-12-2023","Punjab","PVT SECTOR","Nuclear","NA"
"21-12-2023","Punjab","PVT SECTOR","Hydro","NA"
"21-12-2023","Punjab","PVT SECTOR","RES","1842.71"
"21-12-2023","Punjab","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Punjab","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Punjab","CENTRAL SECTOR","Hydro","155.3"
"21-12-2023","Punjab","CENTRAL SECTOR","RES","NA"
"21-12-2023","Rajasthan","STATE SECTOR","Thermal","8433.5"
"21-12-2023","Rajasthan","STATE SECTOR","Nuclear","NA"
"21-12-2023","Rajasthan","STATE SECTOR","Hydro","411"
"21-12-2023","Rajasthan","STATE SECTOR","RES","23.85"
"21-12-2023","Rajasthan","PVT SECTOR","Thermal","2700"
"21-12-2023","Rajasthan","PVT SECTOR","Nuclear","NA"
"21-12-2023","Rajasthan","PVT SECTOR","Hydro","NA"
"21-12-2023","Rajasthan","PVT SECTOR","RES","23063.71"
"21-12-2023","Rajasthan","CENTRAL SECTOR","Thermal","669.33"
"21-12-2023","Rajasthan","CENTRAL SECTOR","Nuclear","1180"
"21-12-2023","Rajasthan","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Rajasthan","CENTRAL SECTOR","RES","344"
"21-12-2023","Sikkim","STATE SECTOR","Thermal","NA"
"21-12-2023","Sikkim","STATE SECTOR","Nuclear","NA"
"21-12-2023","Sikkim","STATE SECTOR","Hydro","1200"
"21-12-2023","Sikkim","STATE SECTOR","RES","55.11"
"21-12-2023","Sikkim","PVT SECTOR","Thermal","NA"
"21-12-2023","Sikkim","PVT SECTOR","Nuclear","NA"
"21-12-2023","Sikkim","PVT SECTOR","Hydro","512"
"21-12-2023","Sikkim","PVT SECTOR","RES","4.69"
"21-12-2023","Sikkim","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Sikkim","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Sikkim","CENTRAL SECTOR","Hydro","570"
"21-12-2023","Sikkim","CENTRAL SECTOR","RES","NA"
"21-12-2023","Tamil Nadu","STATE SECTOR","Thermal","4844.08"
"21-12-2023","Tamil Nadu","STATE SECTOR","Nuclear","NA"
"21-12-2023","Tamil Nadu","STATE SECTOR","Hydro","2178.2"
"21-12-2023","Tamil Nadu","STATE SECTOR","RES","122.7"
"21-12-2023","Tamil Nadu","PVT SECTOR","Thermal","4189.801"
"21-12-2023","Tamil Nadu","PVT SECTOR","Nuclear","NA"
"21-12-2023","Tamil Nadu","PVT SECTOR","Hydro","NA"
"21-12-2023","Tamil Nadu","PVT SECTOR","RES","18540.72"
"21-12-2023","Tamil Nadu","CENTRAL SECTOR","Thermal","5890"
"21-12-2023","Tamil Nadu","CENTRAL SECTOR","Nuclear","2440"
"21-12-2023","Tamil Nadu","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Tamil Nadu","CENTRAL SECTOR","RES","231.9"
"21-12-2023","Telangana","STATE SECTOR","Thermal","5242.5"
"21-12-2023","Telangana","STATE SECTOR","Nuclear","NA"
"21-12-2023","Telangana","STATE SECTOR","Hydro","2405.6"
"21-12-2023","Telangana","STATE SECTOR","RES","41.22"
"21-12-2023","Telangana","PVT SECTOR","Thermal","NA"
"21-12-2023","Telangana","PVT SECTOR","Nuclear","NA"
"21-12-2023","Telangana","PVT SECTOR","Hydro","NA"
"21-12-2023","Telangana","PVT SECTOR","RES","5101.1"
"21-12-2023","Telangana","CENTRAL SECTOR","Thermal","3400"
"21-12-2023","Telangana","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Telangana","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Telangana","CENTRAL SECTOR","RES","10"
"21-12-2023","Tripura","STATE SECTOR","Thermal","105"
"21-12-2023","Tripura","STATE SECTOR","Nuclear","NA"
"21-12-2023","Tripura","STATE SECTOR","Hydro","NA"
"21-12-2023","Tripura","STATE SECTOR","RES","16.01"
"21-12-2023","Tripura","PVT SECTOR","Thermal","NA"
"21-12-2023","Tripura","PVT SECTOR","Nuclear","NA"
"21-12-2023","Tripura","PVT SECTOR","Hydro","NA"
"21-12-2023","Tripura","PVT SECTOR","RES","13.47"
"21-12-2023","Tripura","CENTRAL SECTOR","Thermal","962.6"
"21-12-2023","Tripura","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Tripura","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Tripura","CENTRAL SECTOR","RES","5"
"21-12-2023","Uttar Pradesh","STATE SECTOR","Thermal","5815"
"21-12-2023","Uttar Pradesh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Uttar Pradesh","STATE SECTOR","Hydro","501.6"
"21-12-2023","Uttar Pradesh","STATE SECTOR","RES","49.1"
"21-12-2023","Uttar Pradesh","PVT SECTOR","Thermal","6810"
"21-12-2023","Uttar Pradesh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Uttar Pradesh","PVT SECTOR","Hydro","NA"
"21-12-2023","Uttar Pradesh","PVT SECTOR","RES","4823.01"
"21-12-2023","Uttar Pradesh","CENTRAL SECTOR","Thermal","12943.14"
"21-12-2023","Uttar Pradesh","CENTRAL SECTOR","Nuclear","440"
"21-12-2023","Uttar Pradesh","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Uttar Pradesh","CENTRAL SECTOR","RES","30"
"21-12-2023","Uttarakhand","STATE SECTOR","Thermal","NA"
"21-12-2023","Uttarakhand","STATE SECTOR","Nuclear","NA"
"21-12-2023","Uttarakhand","STATE SECTOR","Hydro","1372.15"
"21-12-2023","Uttarakhand","STATE SECTOR","RES","72.37"
"21-12-2023","Uttarakhand","PVT SECTOR","Thermal","664"
"21-12-2023","Uttarakhand","PVT SECTOR","Nuclear","NA"
"21-12-2023","Uttarakhand","PVT SECTOR","Hydro","829"
"21-12-2023","Uttarakhand","PVT SECTOR","RES","861.72"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","Hydro","1804.2"
"21-12-2023","Uttarakhand","CENTRAL SECTOR","RES","NA"
"21-12-2023","West Bengal","STATE SECTOR","Thermal","4890"
"21-12-2023","West Bengal","STATE SECTOR","Nuclear","NA"
"21-12-2023","West Bengal","STATE SECTOR","Hydro","986"
"21-12-2023","West Bengal","STATE SECTOR","RES","121.95"
"21-12-2023","West Bengal","PVT SECTOR","Thermal","2037"
"21-12-2023","West Bengal","PVT SECTOR","Nuclear","NA"
"21-12-2023","West Bengal","PVT SECTOR","Hydro","NA"
"21-12-2023","West Bengal","PVT SECTOR","RES","514.07"
"21-12-2023","West Bengal","CENTRAL SECTOR","Thermal","6640"
"21-12-2023","West Bengal","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","West Bengal","CENTRAL SECTOR","Hydro","355.2"
"21-12-2023","West Bengal","CENTRAL SECTOR","RES","NA"
